occurred_date,highest_offense_description,family_violence,report_date_time,location_type,address,zip_code,council_district,apd_sector,apd_district,clearance_status,clearance_date,latitude,longitude,year,month,week,day
2020-01-03,MURDER,N,2020-01-03 07:50:00,RESTAURANTS,515 S CONGRESS AVE,78704.0,9.0,HE,1,O,2020-01-03 00:00:00,30.25608933,-97.74700892,2020,1,1,3
2020-01-11,MURDER,N,2020-01-11 09:47:00,PARKING LOTS / GARAGE,1106 REINLI ST,78723.0,4.0,ID,5,C,2020-01-16 00:00:00,30.31722669,-97.70241155,2020,1,2,11
2020-01-17,MURDER,Y,2020-01-17 15:48:00,RESIDENCE / HOME,1711 RUTLAND DR,78758.0,4.0,ED,2,C,2020-01-24 00:00:00,30.37521409,-97.71174462,2020,1,3,17
2020-01-17,MURDER,N,2020-01-17 18:38:00,RESIDENCE / HOME,1109 ESTES AVE,78721.0,3.0,CH,5,C,2020-01-18 00:00:00,30.26819702,-97.68444166,2020,1,3,17
2020-01-23,MURDER,N,2020-01-23 00:30:00,FIELD / WOODS,4404 E ST ELMO RD,78744.0,2.0,FR,6,C,2020-01-23 00:00:00,30.20590451,-97.7383274,2020,1,4,23
2020-02-17,MURDER,N,2020-02-17 22:59:00,PARKING LOTS / GARAGE,7020 GRAND CANYON DR,78752.0,4.0,ID,1,,,30.32619351,-97.69534738,2020,2,8,17
2020-02-18,MURDER,N,2020-02-18 22:32:00,RESIDENCE / HOME,5401 E PARMER LN,78754.0,1.0,CH,8,C,2020-02-27 00:00:00,30.36949762,-97.62068552,2020,2,8,18
2020-02-21,MURDER,Y,2020-02-23 08:47:00,OTHER / UNKNOWN,5900 S MOPAC EXPY SVRD NB,78749.0,8.0,DA,4,C,2020-02-26 00:00:00,30.22552364,-97.83126139,2020,2,8,21
2020-03-13,MURDER,N,2020-03-13 23:10:00,RESIDENCE / HOME,2224 E STASSNEY LN,78744.0,2.0,FR,5,C,2020-05-07 00:00:00,30.19370189,-97.75482749,2020,3,11,13
2020-03-22,MURDER,Y,2020-03-22 21:36:00,RESIDENCE / HOME,15006 FORUM AVE,78660.0,7.0,ED,6,C,2020-03-23 00:00:00,30.44068903,-97.66130562,2020,3,12,22
2020-03-26,MURDER,Y,2020-03-26 02:22:00,RESIDENCE / HOME,7200 DUVAL ST,78752.0,4.0,ID,8,C,2020-03-26 00:00:00,30.33466159,-97.70725658,2020,3,13,26
2020-03-26,MURDER,N,2020-03-26 19:19:00,STREETS / HWY / ROAD / ALLEY,500 ARNULFO ALONSO WAY,78746.0,8.0,DA,1,C,2020-04-03 00:00:00,30.27054144,-97.77960043,2020,3,13,26
2020-03-29,MURDER,N,2020-03-29 02:28:00,PARKING LOTS / GARAGE,500 E HIGHLAND MALL BLVD,78752.0,4.0,ID,8,N,2020-04-10 00:00:00,30.32899857,-97.709405,2020,3,13,29
2020-04-13,MURDER,N,2020-04-13 16:04:00,RESIDENCE / HOME,3800 ALLEGRO LUGAR,78749.0,8.0,DA,4,C,2020-04-13 00:00:00,30.21947347,-97.83170629,2020,4,16,13
2020-04-24,MURDER,N,2020-04-24 19:20:00,PARKING LOTS / GARAGE,2601 S PLEASANT VALLEY RD,78741.0,3.0,HE,4,C,2021-01-25 00:00:00,30.22642499,-97.72791034,2020,4,17,24
2020-05-28,MURDER,N,2020-05-28 22:11:00,RESIDENCE / HOME,1050 SPRINGDALE RD,78721.0,1.0,CH,4,C,2020-06-08 00:00:00,30.27085307,-97.69266431,2020,5,22,28
2020-06-20,MURDER,N,2020-06-20 04:33:00,STREETS / HWY / ROAD / ALLEY,3800 BLOCK ALEXANDRIA DR,78749.0,8.0,DA,7,C,2020-06-24 00:00:00,30.20244636,-97.84256119,2020,6,25,20
2020-06-23,MURDER,N,2020-06-23 15:10:00,RESIDENCE / HOME,9210 NORTHGATE BLVD,78758.0,4.0,ED,2,C,2020-07-04 00:00:00,30.37184787,-97.71620073,2020,6,26,23
2020-06-24,MURDER,N,2020-06-24 20:15:00,STREETS / HWY / ROAD / ALLEY,AIRPORT BLVD / GUNTER ST,78721.0,1.0,CH,4,C,2020-06-24 00:00:00,30.26955573,-97.69671124,2020,6,26,24
2020-06-28,MURDER,N,2020-06-28 07:55:00,RESIDENCE / HOME,2904 PECAN SPRINGS RD,78723.0,1.0,ID,4,C,2020-06-29 00:00:00,30.30082492,-97.6843195,2020,6,26,28
2020-07-08,MURDER,Y,2020-07-08 13:49:00,RESIDENCE / HOME,6118 FAIRWAY ST,78741.0,3.0,HE,3,C,2020-07-15 00:00:00,30.22900387,-97.70310447,2020,7,28,8
2020-07-13,MURDER,N,2020-07-13 15:00:00,OTHER / UNKNOWN,2400 WICKERSHAM LN,78741.0,3.0,HE,4,C,2020-08-03 00:00:00,30.22764855,-97.72330072,2020,7,29,13
2020-07-19,MURDER,Y,2020-07-19 01:36:00,PARKING LOTS / GARAGE,500 CANYON RIDGE DR,78753.0,7.0,ED,6,C,2020-09-18 00:00:00,30.4052639,-97.67189559,2020,7,29,19
2020-07-20,MURDER,N,2020-07-20 05:24:00,PARKING LOTS / GARAGE,1400 E 51ST ST,78723.0,4.0,ID,5,C,2020-07-23 00:00:00,30.30684847,-97.70423502,2020,7,30,20
2020-08-18,MURDER,Y,2020-08-18 20:42:00,RESIDENCE / HOME,5805 MOJAVE DR,78745.0,2.0,FR,4,C,2020-09-05 00:00:00,30.20930792,-97.7903484,2020,8,34,18
2020-08-22,MURDER,N,2020-08-22 19:33:00,PARKING LOTS / GARAGE,5707 MANOR RD,78723.0,1.0,ID,4,C,2020-09-27 00:00:00,30.30512792,-97.68053078,2020,8,34,22
2020-08-26,MURDER,N,2020-08-26 17:59:00,RESIDENCE / HOME,6617 JANES RANCH RD,78744.0,2.0,FR,6,,,30.17062467,-97.72931662,2020,8,35,26
2020-08-27,MURDER,N,2020-08-27 00:30:00,STREETS / HWY / ROAD / ALLEY,E 6TH ST / BRAZOS ST,78701.0,9.0,GE,2,C,2020-08-27 00:00:00,30.26768264,-97.74146079,2020,8,35,27
2020-09-04,MURDER,N,2020-09-04 23:11:00,STREETS / HWY / ROAD / ALLEY,3600 CHAPMAN LN,78744.0,2.0,FR,6,C,2020-09-16 00:00:00,30.21287706,-97.72927327,2020,9,36,4
2020-09-16,MURDER,N,2020-09-16 05:27:00,STREETS / HWY / ROAD / ALLEY,6501 S 1ST ST,78745.0,2.0,FR,4,,,30.19946842,-97.78625065,2020,9,38,16
2020-09-29,MURDER,N,2020-09-29 20:41:00,PARKING LOTS / GARAGE,12300 BLOCK YARMONT WAY,78753.0,7.0,ED,6,,,30.39050908,-97.65568796,2020,9,40,29
2020-10-01,MURDER,N,2020-10-01 16:35:00,PARKING LOTS / GARAGE,12118 WALNUT PARK XING,78753.0,7.0,ED,4,C,2020-11-03 00:00:00,30.39295402,-97.67684845,2020,10,40,1
2020-10-08,MURDER,N,2020-10-08 10:23:00,STREETS / HWY / ROAD / ALLEY,500 E 7TH ST,78701.0,9.0,GE,2,C,2020-10-08 00:00:00,30.26797616,-97.737619,2020,10,41,8
2020-10-25,MURDER,N,2020-10-25 02:04:00,BAR / NIGHT CLUB,1104 E 11TH ST,78702.0,1.0,CH,2,N,2020-10-27 00:00:00,30.26920387,-97.72859043,2020,10,43,25
2020-10-26,MURDER,N,2020-10-26 04:08:00,STREETS / HWY / ROAD / ALLEY,2400 E RIVERSIDE DR,78741.0,3.0,HE,2,,,30.23617615,-97.72472684,2020,10,44,26
2020-10-30,MURDER,N,2020-10-30 21:49:00,RESIDENCE / HOME,501 CARPENTER AVE,78753.0,4.0,ED,1,C,2020-11-09 00:00:00,30.35738277,-97.69815742,2020,10,44,30
2020-11-06,MURDER,N,2020-11-06 20:45:00,PARKING LOTS / GARAGE,11320 FM 2222 RD,78726.0,6.0,AD,8,C,2020-12-08 00:00:00,30.40222811,-97.85212819,2020,11,45,6
2020-11-07,MURDER,N,2020-11-07 04:24:00,RESTAURANTS,8800 E US 290 HWY SVRD WB,78754.0,1.0,ED,3,C,2020-11-12 00:00:00,30.32933196,-97.65779801,2020,11,45,7
2020-11-25,MURDER,N,2020-11-25 21:11:00,STREETS / HWY / ROAD / ALLEY,4400 BLOCK E RIVERSIDE DR,78741.0,3.0,HE,3,C,2021-02-12 00:00:00,30.23317374,-97.72139983,2020,11,48,25
2020-11-27,MURDER,Y,2020-11-27 09:01:00,RESIDENCE / HOME,801 SUGAREE AVE,78757.0,7.0,ID,7,O,2020-11-27 00:00:00,30.34111111,-97.71801759,2020,11,48,27
2020-12-08,MURDER,N,2020-12-08 12:26:00,STREETS / HWY / ROAD / ALLEY,2400 BLOCK E RIVERSIDE DR,78741.0,3.0,HE,2,,,30.23617615,-97.72472684,2020,12,50,8
