occurred_date,highest_offense_description,family_violence,report_date_time,location_type,address,zip_code,council_district,apd_sector,apd_district,clearance_status,clearance_date,latitude,longitude,year,month,week,day
2021-01-11,MURDER,N,2021-01-11 01:44:00,STREETS / HWY / ROAD / ALLEY,6900 BLOCK GRAND CANYON DR,78752.0,4.0,ID,1,C,2021-01-23 00:00:00,30.32547926,-97.69552226,2021,1,2,11
2021-01-22,MURDER,N,2021-01-22 22:14:00,PARKING LOTS / GARAGE,4600 ELMONT DR,78741.0,3.0,HE,3,C,2021-02-11 00:00:00,30.23973544,-97.71651845,2021,1,3,22
2021-01-26,MURDER,N,2021-01-26 16:29:00,DRUG STORE / DR. OFFICE / HOSPITAL,1912 W 35TH ST,78731.0,10.0,BA,6,,,30.30899939,-97.75570273,2021,1,4,26
2021-01-29,MURDER,N,2021-01-29 21:03:00,STREETS / HWY / ROAD / ALLEY,1126 MEARNS MEADOW BLVD,78758.0,4.0,ED,1,,,30.37008253,-97.70116627,2021,1,4,29
2021-02-02,MURDER,N,2021-02-02 19:48:00,RESIDENCE / HOME,6103 MANOR RD,78723.0,1.0,ID,4,,,30.30755468,-97.67805181,2021,2,5,2
2021-02-03,MURDER,N,2021-02-03 11:09:00,STREETS / HWY / ROAD / ALLEY,2400 BLOCK ANKEN DR,78741.0,3.0,HE,2,,,30.23059859,-97.72811131,2021,2,5,3
2021-02-06,MURDER,N,2021-02-06 06:31:00,HOTEL / MOTEL / ETC.,7100 N IH 35 SVRD SB,78752.0,4.0,ID,8,,,30.33219866,-97.70517709,2021,2,5,6
2021-02-16,MURDER,Y,2021-02-16 06:46:00,HOTEL / MOTEL / ETC.,4200 S IH 35 SVRD SB,78745.0,3.0,DA,3,C,2021-02-16 00:00:00,30.21494929,-97.7537948,2021,2,7,16
2021-02-16,MURDER,N,2021-02-16 17:56:00,PARKING LOTS / GARAGE,CAMERON RD / CORONADO HILLS DR,78752.0,1.0,ID,2,C,2021-02-24 00:00:00,30.32903752,-97.69041232,2021,2,7,16
2021-02-28,MURDER,N,2021-02-28 23:36:00,RESIDENCE / HOME,811 W ST JOHNS AVE,78757.0,7.0,ID,7,C,2021-04-13 00:00:00,30.33966701,-97.7189541,2021,2,8,28
2021-03-14,MURDER,N,2021-03-14 04:13:00,BAR / NIGHT CLUB,617 E 7TH ST,78701.0,9.0,GE,2,,,30.26695865,-97.73613182,2021,3,10,14
2021-03-18,MURDER,N,2021-03-18 03:33:00,STREETS / HWY / ROAD / ALLEY,106 OERTLI LN,78753.0,4.0,ED,1,C,2021-04-06 00:00:00,30.34992284,-97.70065719,2021,3,11,18
2021-03-21,MURDER,N,2021-03-21 23:22:00,PARKING LOTS / GARAGE,2209 E RIVERSIDE DR,78741.0,3.0,HE,2,N,2021-03-22 00:00:00,30.23931325,-97.72683724,2021,3,11,21
2021-03-22,MURDER,N,2021-03-22 13:13:00,HOTEL / MOTEL / ETC.,11901 PAVILION BLVD,78759.0,10.0,AD,7,,,30.42460539,-97.75437566,2021,3,12,22
2021-03-25,MURDER,N,2021-03-25 12:18:00,RESIDENCE / HOME,1109 KENYON DR,78745.0,2.0,FR,4,,,30.20568816,-97.79199208,2021,3,12,25
2021-03-27,MURDER,N,2021-03-27 16:55:00,STREETS / HWY / ROAD / ALLEY,6601 BRADLEY DR,78723.0,1.0,ID,3,,,30.31512549,-97.67880085,2021,3,12,27
2021-03-28,MURDER,N,2021-03-28 14:36:00,HOTEL / MOTEL / ETC.,11105 N IH 35 SVRD NB,78753.0,1.0,ED,7,C,2021-04-06 00:00:00,30.37472693,-97.67683667,2021,3,12,28
2021-03-31,MURDER,N,2021-03-31 02:43:00,RESIDENCE / HOME,9715 N FM 620 RD,78726.0,6.0,AD,8,C,2021-04-11 00:00:00,30.43679351,-97.83820902,2021,3,13,31
2021-04-06,MURDER,N,2021-04-06 00:26:00,PARKING LOTS / GARAGE,7330 BLUFF SPRINGS RD,78744.0,2.0,FR,8,N,2021-04-08 00:00:00,30.17952332,-97.77026779,2021,4,14,6
2021-04-14,MURDER,N,2021-04-14 19:24:00,PARKING LOTS / GARAGE,9422 N LAMAR BLVD,78758.0,4.0,ED,1,C,2021-05-05 00:00:00,30.36417602,-97.69694417,2021,4,15,14
2021-04-18,MURDER,Y,2021-04-18 11:42:00,PARKING LOTS / GARAGE,9600 GREAT HILLS TRL,78759.0,10.0,AD,7,C,2021-05-03 00:00:00,30.39541162,-97.75416032,2021,4,15,18
2021-04-29,MURDER,N,2021-04-29 18:51:00,RESIDENCE / HOME,2022 E SLAUGHTER LN,78747.0,2.0,FR,7,C,2021-05-03 00:00:00,30.15200201,-97.76304468,2021,4,17,29
2021-05-05,MURDER,N,2021-05-06 13:58:00,STREETS / HWY / ROAD / ALLEY,5200 BLOCK TOWER TRL,78723.0,1.0,CH,4,,,30.29017709,-97.6701978,2021,5,18,5
