occurred_date,highest_offense_description,family_violence,report_date_time,location_type,address,zip_code,council_district,apd_sector,apd_district,clearance_status,clearance_date,latitude,longitude,year,month,week,day
2004-01-26,CAPITAL MURDER,N,2004-01-26 22:37:00,RESIDENCE / HOME,4708 WHISPERING VALLEY DR,78727.0,6.0,AD,3,N,2004-04-06 00:00:00,30.41794683,-97.7327078,2004,1,5,26
2004-03-22,MURDER,N,2004-03-22 22:53:00,STREETS / HWY / ROAD / ALLEY,4600 BLOCK MARLO DR,78723.0,1.0,CH,4,C,2004-06-09 00:00:00,30.29017116,-97.68451048,2004,3,13,22
2004-04-05,MURDER,N,2004-04-05 01:29:00,PARKING LOTS / GARAGE,2007 E RIVERSIDE DR,78741.0,3.0,HE,2,N,2020-06-23 00:00:00,30.24046165,-97.72826335,2004,4,15,5
2004-04-19,MURDER,N,2004-04-19 16:33:00,STREETS / HWY / ROAD / ALLEY,4200 GUADALUPE ST,78751.0,9.0,BA,5,N,2004-09-27 00:00:00,30.30766207,-97.73509975,2004,4,17,19
2004-04-29,MURDER,N,2004-04-29 21:15:00,RESIDENCE / HOME,3303 LIBERTY ST,78705.0,9.0,BA,1,C,2004-04-30 00:00:00,30.29478087,-97.73083186,2004,4,18,29
2004-05-02,MURDER,Y,2004-05-02 03:39:00,OTHER / UNKNOWN,1430 FRONTIER VALLEY DR,78741.0,3.0,HE,5,C,2004-06-23 00:00:00,30.22645832,-97.69380842,2004,5,18,2
2004-05-03,MURDER,N,2004-05-03 11:00:00,DRUG STORE / DR. OFFICE / HOSPITAL,500 BLOCK N I 35 SB SVC RD,78701.0,9.0,CH,1,N,2004-08-11 00:00:00,30.26539953,-97.73519788,2004,5,19,3
2004-06-11,CAPITAL MURDER,N,2004-06-11 06:33:00,RESIDENCE / HOME,4708 TANNEY ST,78721.0,3.0,CH,5,C,2004-09-03 00:00:00,30.27233518,-97.68851396,2004,6,24,11
2004-06-17,MURDER,Y,2004-06-17 15:45:00,RESIDENCE / HOME,1206 E 12TH ST,78702.0,1.0,CH,3,O,2004-06-21 00:00:00,30.27287136,-97.7274363,2004,6,25,17
2004-06-19,CAPITAL MURDER,N,2004-06-19 12:37:00,PARKING LOTS / GARAGE,8225 SAM RAYBURN DR,78753.0,4.0,ED,1,C,2004-07-20 00:00:00,30.34778132,-97.69883196,2004,6,25,19
2004-07-25,MURDER,N,2004-07-26 07:30:00,RESIDENCE / HOME,1124 RUTLAND DR,78758.0,4.0,ED,1,N,2004-08-31 00:00:00,30.36871033,-97.70372535,2004,7,30,25
2004-07-25,MURDER,N,2004-07-25 12:42:00,RESIDENCE / HOME,5000 MISSION OAKS BLVD,78735.0,8.0,DA,5,C,2005-02-04 00:00:00,30.24331621,-97.83695196,2004,7,30,25
2004-08-01,MURDER,N,2004-08-01 21:05:00,RESIDENCE / HOME,2104 E ANDERSON WB LN,78752.0,,ED,6,O,2004-08-26 00:00:00,30.32883802,-97.678227,2004,8,31,1
