occurred_date_time,highest_offense_description,family_violence,report_date_time,location_type,address,zip_code,council_district,apd_sector,apd_district,pra,census_tract,clearance_status,clearance_date,category_description,latitude,longitude,year,month,week,day,hour
2018-01-21 16:46:00,MURDER,True,2018-01-21 16:46:00,STREETS / HWY / ROAD / ALLEY,5300 BLOCK WELLINGTON DR,78723.0,1.0,ID,4,295.0,21.06,True,2018-01-22 00:00:00,Murder,30.30098396,-97.68549425,2018.0,1.0,3.0,21.0,16.0
2018-03-01 12:04:00,MURDER,True,2018-03-01 12:04:00,RESIDENCE / HOME,5413 LA LOMA LN,78617.0,2.0,HE,7,611.0,24.33,True,2018-03-02 00:00:00,Murder,30.17424764,-97.63076595,2018.0,3.0,9.0,1.0,12.0
2018-03-02 06:55:00,MURDER,False,2018-03-02 06:55:00,RESIDENCE / HOME,1112 HAVERFORD DR,78753.0,7.0,ED,6,206.0,,,,Murder,30.40601532,-97.64868575,2018.0,3.0,9.0,2.0,6.0
2018-03-05 06:05:00,MURDER,False,2018-03-05 06:05:00,RESIDENCE / HOME,5605 SPRINGDALE RD,78723.0,1.0,CH,4,324.0,21.0,True,2018-03-28 00:00:00,Murder,30.29930398,-97.67369558,2018.0,3.0,10.0,5.0,6.0
2018-03-06 16:47:00,CAPITAL MURDER,False,2018-03-06 16:47:00,PARKING LOTS / GARAGE,3210 KRAMER LN,78758.0,7.0,AD,2,201.0,18.49,True,2018-03-29 00:00:00,Murder,30.39776451,-97.72673528,2018.0,3.0,10.0,6.0,16.0
2018-03-12 06:44:00,MURDER,False,2018-03-12 09:27:00,RESIDENCE / HOME,4806 OLDFORT HILL DR,78723.0,1.0,CH,4,324.0,,,,Murder,30.28891493,-97.67405158,2018.0,3.0,11.0,12.0,6.0
2018-03-24 21:23:00,MURDER,False,2018-03-24 21:25:00,PARKING LOTS / GARAGE,605 MASTERSON PASS,78753.0,4.0,ED,1,240.0,18.23,True,2018-03-25 00:00:00,Murder,30.36920586,-97.69116707,2018.0,3.0,12.0,24.0,21.0
2018-04-17 01:43:00,CAPITAL MURDER,False,2018-04-17 01:43:00,RESIDENCE / HOME,412 E WILLIAM CANNON DR,78745.0,2.0,FR,4,515.0,24.02,True,2018-04-22 00:00:00,Murder,30.19259606,-97.77497082,2018.0,4.0,16.0,17.0,1.0
2018-05-19 02:21:00,MURDER,False,2018-05-19 04:36:00,PARKING LOTS / GARAGE,321 W BEN WHITE BLVD SVRD EB,78745.0,3.0,DA,3,491.0,20.0,True,2018-05-19 00:00:00,Murder,30.22421645,-97.76741591,2018.0,5.0,20.0,19.0,2.0
2018-05-26 00:00:00,MURDER,True,2018-05-26 08:50:00,RESIDENCE / HOME,9604 BEAR PAW TRL,78617.0,2.0,HE,8,500.0,23.1,True,2018-05-26 00:00:00,Murder,30.22274207,-97.66630256,2018.0,5.0,21.0,26.0,0.0
2018-06-02 18:20:00,MURDER,True,2018-06-02 18:20:00,RESIDENCE / HOME,6409 SPRINGDALE RD,78723.0,1.0,CH,4,324.0,,True,2018-08-11 00:00:00,Murder,30.30714138,-97.66939998,2018.0,6.0,22.0,2.0,18.0
