occurred_date_time,highest_offense_description,family_violence,report_date_time,location_type,address,zip_code,council_district,apd_sector,apd_district,pra,census_tract,clearance_status,clearance_date,category_description,latitude,longitude,year,month,week,day,hour
2017-01-01 17:30:00,AGGRAVATED ASSAULT,False,2017-01-01 17:30:00,PARKING LOTS / GARAGE,9329 NORTHGATE BLVD,78758.0,4.0,ED,2,236.0,18.2,False,2017-02-14 00:00:00,Aggravated Assault,30.37310385,-97.71440302,2017.0,1.0,52.0,1.0,17.0
2017-01-01 18:20:00,ROBBERY BY ASSAULT,False,2017-01-01 18:20:00,RESIDENCE / HOME,3300 MANOR RD,78723.0,1.0,BA,4,900.0,,True,2017-01-17 00:00:00,Robbery,30.2872359,-97.70250644,2017.0,1.0,52.0,1.0,18.0
2017-01-01 18:25:00,ARMED ROBBERY,False,2017-01-01 18:35:00,PARKING LOTS / GARAGE,1070 MEARNS MEADOW BLVD,78758.0,4.0,ED,1,239.0,18.22,True,2017-01-01 00:00:00,Robbery,30.36948655,-97.69959977,2017.0,1.0,52.0,1.0,18.0
2017-01-01 21:29:00,AGG FORCED SODOMY,False,2019-08-27 21:29:00,RESIDENCE / HOME,9600 BLOCK MIDDLE FISKVILLE RD,78753.0,4.0,ED,7,241.0,18.33,True,2019-10-29 00:00:00,Rape,,,2017.0,1.0,52.0,1.0,21.0
2017-01-01 21:48:00,AGG ASLT STRANGLE/SUFFOCATE,True,2017-01-01 21:48:00,RESIDENCE / HOME,3404 BACH DR,78660.0,1.0,ED,8,766.0,18.42,True,2017-01-02 00:00:00,Aggravated Assault,30.38937639,-97.61919351,2017.0,1.0,52.0,1.0,21.0
2017-01-01 21:52:00,AGG ASLT STRANGLE/SUFFOCATE,True,2017-01-01 21:52:00,PARKING LOTS / GARAGE,2601 S PLEASANT VALLEY RD,78741.0,3.0,HE,4,484.0,23.13,True,2017-01-05 00:00:00,Aggravated Assault,30.22642499,-97.72791034,2017.0,1.0,52.0,1.0,21.0
2017-01-02 01:00:00,DEADLY CONDUCT,False,2017-01-02 01:00:00,STREETS / HWY / ROAD / ALLEY,6100 TINER TRL,78724.0,1.0,CH,6,303.0,,False,2017-01-27 00:00:00,Aggravated Assault,30.28981743,-97.63982686,2017.0,1.0,1.0,2.0,1.0
2017-01-02 06:30:00,ARMED ROBBERY,False,2017-01-02 06:30:00,PARKING LOTS / GARAGE,1912 E WILLIAM CANNON DR,78744.0,2.0,FR,8,516.0,24.19,False,2018-09-15 00:00:00,Robbery,30.18854877,-97.76458936,2017.0,1.0,1.0,2.0,6.0
2017-01-02 10:01:00,RAPE OF A CHILD,False,2017-01-02 10:01:00,OTHER / UNKNOWN,7000 BLOCK CROMARTY CV,78754.0,1.0,CH,8,226.0,,False,2017-01-04 00:00:00,Rape,,,2017.0,1.0,1.0,2.0,10.0
2017-01-02 11:51:00,AGGRAVATED ASSAULT,False,2017-01-02 11:51:00,PARKING LOTS / GARAGE,519 E 7TH ST,78701.0,9.0,GE,2,382.0,11.0,True,2017-01-02 00:00:00,Aggravated Assault,30.26725491,-97.73717896,2017.0,1.0,1.0,2.0,11.0
2017-01-02 19:07:00,AGG ASLT STRANGLE/SUFFOCATE,True,2017-01-02 19:07:00,ABANDONED/CONDEMNED STRUCTURE,6855 E US 290 HWY EB,78723.0,1.0,ID,3,294.0,21.12,True,2017-01-06 00:00:00,Aggravated Assault,30.32127898,-97.68802519,2017.0,1.0,1.0,2.0,19.0
2017-01-02 19:50:00,ROBBERY BY ASSAULT,False,2017-01-02 19:50:00,PARKING LOTS / GARAGE,1401 E 12TH ST,78702.0,1.0,CH,2,413.0,8.0,False,2017-01-09 00:00:00,Robbery,30.27270295,-97.72483619,2017.0,1.0,1.0,2.0,19.0
2017-01-02 23:00:00,AGG RAPE,False,2017-01-03 01:32:00,RESIDENCE / HOME,2600 BLOCK REEVES CIR,78741.0,3.0,HE,2,482.0,,False,2017-02-10 00:00:00,Rape,,,2017.0,1.0,1.0,2.0,23.0
