occurred_date_time,highest_offense_description,family_violence,report_date_time,location_type,address,zip_code,council_district,apd_sector,apd_district,pra,census_tract,clearance_status,clearance_date,category_description,latitude,longitude,year,month,week,day,hour
2020-01-03 07:50:00,MURDER,False,2020-01-03 07:50:00,RESTAURANTS,515 S CONGRESS AVE,78704.0,9.0,HE,1,454.0,14.0,True,2020-01-03 00:00:00,Murder,30.25608933,-97.74700892,2020.0,1.0,1.0,3.0,7.0
2020-01-11 09:47:00,MURDER,False,2020-01-11 09:47:00,PARKING LOTS / GARAGE,1106 REINLI ST,78723.0,4.0,ID,5,292.0,21.0,True,2020-01-16 00:00:00,Murder,30.31722669,-97.70241155,2020.0,1.0,2.0,11.0,9.0
2020-01-17 15:48:00,MURDER,True,2020-01-17 15:48:00,RESIDENCE / HOME,1711 RUTLAND DR,78758.0,4.0,ED,2,236.0,,True,2020-01-24 00:00:00,Murder,30.37521409,-97.71174462,2020.0,1.0,3.0,17.0,15.0
2020-01-17 18:38:00,MURDER,False,2020-01-17 18:38:00,RESIDENCE / HOME,1109 ESTES AVE,78721.0,3.0,CH,5,397.0,,True,2020-01-18 00:00:00,Murder,30.26819702,-97.68444166,2020.0,1.0,3.0,17.0,18.0
2020-01-23 00:30:00,MURDER,False,2020-01-23 00:30:00,FIELD / WOODS,4404 E ST ELMO RD,78744.0,2.0,FR,6,496.0,,True,2020-01-23 00:00:00,Murder,30.20590451,-97.7383274,2020.0,1.0,4.0,23.0,0.0
2020-02-17 22:59:00,MURDER,False,2020-02-17 22:59:00,PARKING LOTS / GARAGE,7020 GRAND CANYON DR,78752.0,4.0,ID,1,265.0,18.12,,,Murder,30.32619351,-97.69534738,2020.0,2.0,8.0,17.0,22.0
2020-02-18 22:32:00,MURDER,False,2020-02-18 22:32:00,RESIDENCE / HOME,5401 E PARMER LN,78754.0,1.0,CH,8,831.0,18.42,True,2020-02-27 00:00:00,Murder,30.36949762,-97.62068552,2020.0,2.0,8.0,18.0,22.0
2020-02-21 00:00:00,MURDER,True,2020-02-23 08:47:00,OTHER / UNKNOWN,5900 S MOPAC EXPY SVRD NB,78749.0,8.0,DA,4,79.0,17.5,True,2020-02-26 00:00:00,Murder,30.22552364,-97.83126139,2020.0,2.0,8.0,21.0,0.0
2020-03-13 23:10:00,MURDER,False,2020-03-13 23:10:00,RESIDENCE / HOME,2224 E STASSNEY LN,78744.0,2.0,FR,5,493.0,24.11,True,2020-05-07 00:00:00,Murder,30.19370189,-97.75482749,2020.0,3.0,11.0,13.0,23.0
2020-03-22 21:36:00,MURDER,True,2020-03-22 21:36:00,RESIDENCE / HOME,15006 FORUM AVE,78660.0,7.0,ED,6,174.0,18.4,True,2020-03-23 00:00:00,Murder,30.44068903,-97.66130562,2020.0,3.0,12.0,22.0,21.0
2020-03-26 02:22:00,MURDER,True,2020-03-26 02:22:00,RESIDENCE / HOME,7200 DUVAL ST,78752.0,4.0,ID,8,264.0,18.0,True,2020-03-26 00:00:00,Murder,30.33466159,-97.70725658,2020.0,3.0,13.0,26.0,2.0
2020-03-26 19:19:00,MURDER,False,2020-03-26 19:19:00,STREETS / HWY / ROAD / ALLEY,500 ARNULFO ALONSO WAY,78746.0,8.0,DA,1,436,,True,2020-04-03 00:00:00,Murder,30.27054144,-97.77960043,2020.0,3.0,13.0,26.0,19.0
2020-03-29 02:28:00,MURDER,False,2020-03-29 02:28:00,PARKING LOTS / GARAGE,500 E HIGHLAND MALL BLVD,78752.0,4.0,ID,8,279.0,15.0,False,2020-04-10 00:00:00,Murder,30.32899857,-97.709405,2020.0,3.0,13.0,29.0,2.0
2020-04-13 12:17:00,MURDER,False,2020-04-13 16:04:00,RESIDENCE / HOME,3800 ALLEGRO LUGAR,78749.0,8.0,DA,4,80.0,17.5,True,2020-04-13 00:00:00,Murder,30.21947347,-97.83170629,2020.0,4.0,16.0,13.0,12.0
2020-04-24 18:32:00,MURDER,False,2020-04-24 19:20:00,PARKING LOTS / GARAGE,2601 S PLEASANT VALLEY RD,78741.0,3.0,HE,4,484.0,23.13,True,2021-01-25 00:00:00,Murder,30.22642499,-97.72791034,2020.0,4.0,17.0,24.0,18.0
2020-05-28 22:11:00,MURDER,False,2020-05-28 22:11:00,RESIDENCE / HOME,1050 SPRINGDALE RD,78721.0,1.0,CH,4,425.0,21.11,True,2020-06-08 00:00:00,Murder,30.27085307,-97.69266431,2020.0,5.0,22.0,28.0,22.0
2020-06-20 04:33:00,MURDER,False,2020-06-20 04:33:00,STREETS / HWY / ROAD / ALLEY,3800 BLOCK ALEXANDRIA DR,78749.0,8.0,DA,7,86.0,,True,2020-06-24 00:00:00,Murder,30.20244636,-97.84256119,2020.0,6.0,25.0,20.0,4.0
2020-06-23 15:10:00,CAPITAL MURDER,False,2020-06-23 15:10:00,RESIDENCE / HOME,9210 NORTHGATE BLVD,78758.0,4.0,ED,2,235.0,18.2,True,2020-07-04 00:00:00,Murder,30.37184787,-97.71620073,2020.0,6.0,26.0,23.0,15.0
2020-06-24 18:42:00,MURDER,False,2020-06-24 20:15:00,STREETS / HWY / ROAD / ALLEY,AIRPORT BLVD / GUNTER ST,78721.0,1.0,CH,4,425.0,21.11,True,2020-06-24 00:00:00,Murder,30.26955573,-97.69671124,2020.0,6.0,26.0,24.0,18.0
2020-06-28 07:50:00,CAPITAL MURDER,False,2020-06-28 07:55:00,RESIDENCE / HOME,2904 PECAN SPRINGS RD,78723.0,1.0,ID,4,298.0,,True,2020-06-29 00:00:00,Murder,30.30082492,-97.6843195,2020.0,6.0,26.0,28.0,7.0
2020-07-08 13:49:00,MURDER,True,2020-07-08 13:49:00,RESIDENCE / HOME,6118 FAIRWAY ST,78741.0,3.0,HE,3,443.0,,True,2020-07-15 00:00:00,Murder,30.22900387,-97.70310447,2020.0,7.0,28.0,8.0,13.0
2020-07-13 15:00:00,MURDER,False,2020-07-13 15:00:00,OTHER / UNKNOWN,2400 WICKERSHAM LN,78741.0,3.0,HE,4,458.0,23.14,True,2020-08-03 00:00:00,Murder,30.22764855,-97.72330072,2020.0,7.0,29.0,13.0,15.0
2020-07-19 01:36:00,MURDER,True,2020-07-19 01:36:00,PARKING LOTS / GARAGE,500 CANYON RIDGE DR,78753.0,7.0,ED,6,206.0,18.39,True,2020-09-18 00:00:00,Murder,30.4052639,-97.67189559,2020.0,7.0,29.0,19.0,1.0
2020-07-20 05:24:00,MURDER,False,2020-07-20 05:24:00,PARKING LOTS / GARAGE,1400 E 51ST ST,78723.0,4.0,ID,5,48,,True,2020-07-23 00:00:00,Murder,30.30684847,-97.70423502,2020.0,7.0,30.0,20.0,5.0
