,    Bias,Bias,Date of Incident,Date of Incident/Day of Week,Day of Week,Incident Number,Month,Notes,Number of Offenders over 18,Number of Offenders under 18,Number of Victims Over 18,Number of Victims over 18,Number of Victims under 18,Number of vitims under 18,Offense,Offense Location,Offense(s),Race or Ethnic of Offender,Race/Ethnic of Offender(s),Race/Ethnicity of Offenders,Victim Type
36,,Anti-Gay (Male),12/29/2018 0:00,,Saturday,2019-8000242,January,"Offense occurred in 2018, but reported in January 2019",0,0,,1.0,0.0,,,Bar/Nightclub,Assault,,,Unknown,
37,,Anti-Gay (Male),1/19/2019 0:00,,Saturday,2019-190201,January,"Four total offenders, two White Hispanic, two White Nonhispanic",4,0,,2.0,0.0,,,Streets/Highway/Road/Alley,Assault,,,White/Hispanic (2) White/NonHispanic (2),
38,,Anti-Jewish,2/22/2019 0:00,,Friday,2019-531028,February,,0,0,,1.0,0.0,,,Residence/Home,Vandalism,,,Unknown,
39,,Anti-Gay (Male),3/31/2019 0:00,,Sunday,2019-901579,March,,1,0,,1.0,0.0,,,Bar/Nightclub,Assault,,,White/Hispanic,
40,,Anti-Hispanic/Latino,4/4/2019 0:00,,Saturday,2019-941819,April,,3,0,,1.0,0.0,,,School-Elementary/Secondary,Assault,,,White/Hispanic,
41,,Anti-White,6/11/2019 0:00,,Tuesday,2019-1621946,June,,2,0,,1.0,0.0,,,Hotel/Motel,Criminal Mischief,,,Black/Not Hispanic,
42,,Anti-Islamic(Muslim),8/6/2019 0:00,,Tuesday,2019-2181959,August,,0,3,,0.0,1.0,,,Parking Lot/Garage,Assault,,,White/Hispanic (3),
43,,Anti-Black or African American,8/12/2019 0:00,,Monday,2019-2240026,August,,1,0,,1.0,0.0,,,Drug Store/Dr.'s office/Hospital,Intimidation,,,White/Not Hispanic,
44,,Anti-Gay (Male),8/24/2019 0:00,,Saturday,2019-2351905,August,,1,0,,1.0,0.0,,,Bar/Nightclub,Assault,,,White/Hispanic,
45,,Anti-Gay (Male),11/23/2019 0:00,,Saturday,2019-3271657,November,,1,0,,1.0,0.0,,,Streets/Highway/Road/Alley,Assault,,,White/Not Hispanic,
